frequency_hz,vpp_in,vpp_out,gain_db,phase_deg
10.0,0.0627,0.0013311,-33.46113714788998,nan
12.589254117941675,nan,nan,nan,-4.5
15.848931924611133,1.2,nan,nan,-8.4375
19.952623149688797,1.176,0.86,-2.718177409931039,5.714285
25.118864315095795,1.176,0.853,-2.7891658114519324,-3.636364
31.622776601683793,1.176,0.86,-2.718177409931039,-9.113924
39.810717055349734,1.184,0.86,-2.7770650228666645,-11.42857
50.11872336272725,1.176,0.853,-2.7891658114519324,-7.272727
63.09573444801933,1.168,0.853,-2.729876232177153,-13.67089
79.43282347242814,1.184,0.86,-2.7770650228666645,-5.714285
100.0,1.176,0.866,-2.6577885944554613,-7.2
125.89254117941675,1.176,0.866,-2.6577885944554613,-8.999999
158.48931924611142,1.16,0.86,-2.5991907596670143,-11.42857
199.52623149688787,1.136,0.86,-2.417597602628646,-17.28
251.18864315095823,1.12,0.84,-2.4987747321660003,-21.6
316.22776601683796,1.104,0.8329999,-2.4464824824517595,-31.89873
333.3333333333332,1.104,0.827,-2.509271276812669,-36.0
360.5444667842552,1.096,0.82,-2.5199340352926742,-38.84892
389.9769375862288,1.088,0.82,-2.4563008595688895,-45.0
398.1071705534973,1.088,0.82,-2.4563008595688895,-43.2
421.81208106055107,1.08,0.8,-2.6066753699001226,-45.76271
456.2460355474004,1.072,0.8,-2.542095967296152,-49.54128
493.4909508266037,1.072,0.8,-2.542095967296152,-53.46535
501.18723362727246,1.072,0.793,-2.6184319607829476,-58.18182
533.776295185899,1.064,0.787,-2.6193379119992963,-58.06452
577.3502691896257,1.064,0.78,-2.6969405053709803,-70.34483
624.4813348581596,1.056,0.767,-2.77737108497625,-72.0
630.957344480193,1.056,0.767,-2.77737108497625,-72.91139
675.4598696794654,1.056,0.747,-3.0068663276478933,-88.16327
730.5999556432364,1.056,0.747,-3.0068663276478933,-94.59855
790.2413143199738,1.056,0.727,-3.2425901467751133,-105.7143
794.3282347242822,1.056,0.727,-3.2425901467751133,-105.7143
854.7513999071522,1.056,0.697,-3.6086228019956823,-113.8462
924.5276631378599,1.048,0.666,-3.937741069548135,-126.6667
1000.0,1.048,0.628,-4.448032778210235,-142.5742
1081.6334003527659,1.072,0.572,-5.455975131274542,-162.5806
1169.930812758687,1.168,0.49,-7.54493525495734,171.6279
1258.9254117941675,1.296,0.382,-10.610832772457318,154.9367
1265.4362431816537,1.312,0.378,-10.808840704048324,154.9367
1368.7381066422017,1.456,0.262,-14.89720167314546,138.0822
1480.4728524798115,1.536,0.1618,-19.548253968384795,127.0588
1584.893192461114,1.552,0.0944,-24.318394452482014,120.0
1601.3288855576975,1.552,0.08679999,-25.04744083559214,121.9355
1732.0508075688776,1.496,0.0388,-31.721997358684707,115.0
1873.4440045744795,1.44,0.0146,-39.88019272621625,145.0746
1995.262314968881,1.368,0.01181,-41.27672399541165,-162.8571
2026.3796090383971,1.36,0.01248,-40.74648646047625,-155.1219
2191.79986692971,1.28,0.01546,-38.36000960131125,-138.9474
2370.723942959922,1.2,0.01565,-37.69333808330315,-135.8491
2511.886431509582,1.144,0.0145,-37.94116044444061,-138.1818
2564.2541997214576,1.12,0.01392,-38.11157574791277,-135.9184
2773.582989413581,1.056,0.01114,-39.53557454720167,-134.5055
3000.0000000000014,0.976,0.00815,-41.565844178534306,-134.4578
3162.2776601683795,0.936,0.0062,-43.57768318479703,-136.7089
3981.0717055349733,0.768,0.001253,-55.74820298074724,-5.625
5011.872336272725,0.624,0.00451,-42.82016095608927,21.81818
6309.573444801937,0.505,0.00582,-38.76736786937546,22.78481
7943.282347242822,0.411,0.00593,-36.81574257023613,17.14286
10000.0,0.333,0.00549,-35.657437781124564,14.4
