Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,2.2uF,C_0603_1608Metric,91.625,-38.15,90.0,top
C2,220nF,C_0603_1608Metric,110.0,-50.75,0.0,top
C3,4.7uF,C_0603_1608Metric,110.0,-38.75,0.0,top
C4,1uF,C_0603_1608Metric,112.5,-44.75,-90.0,top
C5,2.2uF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,10mH,C19632966-IND-SMD_L18.6-W15.3,100.0,-44.75,180.0,top
L2,8.2mH,C5278962-YPRH1209-822M,121.0,-44.75,-90.0,top
