frequency_hz,vpp_in,vpp_out,gain_db,phase_deg
10.0,nan,nan,nan,nan
12.589254117941675,1.188,0.86,-2.80635978803214,-9.000001
15.848931924611133,1.188,0.86,-2.80635978803214,-5.714286
19.952623149688797,1.172,0.86,-2.6885832087700825,-5.76
25.118864315095795,1.172,0.853,-2.759571610290976,-7.2
31.622776601683793,1.164,0.853,-2.7000789829269323,-4.5
39.810717055349734,1.18,0.86,-2.7476711212511526,-2.857143
50.11872336272725,1.18,0.86,-2.7476711212511526,-10.90909
63.09573444801933,1.18,0.853,-2.8186595227720472,-9.113924
79.43282347242814,1.188,0.86,-2.80635978803214,-8.64
100.0,1.18,0.867,-2.6772581965983018,-10.8
125.89254117941675,1.18,0.867,-2.6772581965983018,-8.999999
158.48931924611142,1.164,0.86,-2.629090581406039,-11.42857
199.52623149688787,1.156,0.853,-2.640176058339744,-20.16
251.18864315095823,1.14,0.846,-2.59068976594898,-21.81818
316.22776601683796,1.117,0.84,-2.475477741074548,-31.89873
333.3333333333332,1.117,0.834,-2.537742449557407,-36.0
360.5444667842552,1.101,0.834,-2.4124253666802615,-38.84892
389.9769375862288,1.101,0.82,-2.5594693317607016,-45.0
398.1071705534973,1.101,0.834,-2.4124253666802615,-40.0
421.81208106055107,1.094,0.813,-2.578535528066877,-42.71186
456.2460355474004,1.086,0.806,-2.5898956689547505,-49.09091
493.4909508266037,1.086,0.807,-2.579125810615154,-56.47059
501.18723362727246,1.086,0.807,-2.579125810615154,-54.0
533.776295185899,1.078,0.787,-2.7328805698331067,-61.2766
577.3502691896257,1.07,0.794,-2.5912655051622675,-66.97675
624.4813348581596,1.07,0.773,-2.824085675337695,-72.0
630.957344480193,1.07,0.78,-2.745783499894585,-72.91139
675.4598696794654,1.062,0.76,-2.9062184892931793,-82.70271
730.5999556432364,1.07,0.747,-3.121263517396218,-94.59855
790.2413143199738,1.062,0.727,-3.291802117728249,-104.8819
794.3282347242822,1.062,0.733,-3.220410842086446,-100.0
854.7513999071522,1.062,0.713,-3.4606997378716953,-110.7692
924.5276631378599,1.054,0.676,-3.8578782986978375,-125.5046
1000.0,1.054,0.635,-4.401337711691044,-140.4
1081.6334003527659,1.078,0.581,-5.368852569207785,-162.5806
1169.930812758687,1.156,0.494,-7.384617703217265,177.8823
1258.9254117941675,1.29,0.395,-10.279852293455775,153.0
1265.4362431816537,1.298,0.385,-10.556279259116996,154.9367
1368.7381066422017,1.447,0.272,-14.517992541696774,138.0822
1480.4728524798115,1.542,0.1674,-19.28657840115394,121.7647
1584.893192461114,1.562,0.0988,-23.978481699073065,120.0
1601.3288855576975,1.562,0.0903,-24.759865584555513,116.129
1732.0508075688776,1.521,0.0409,-31.40811812091313,114.2069
1873.4440045744795,1.459,0.01526,-39.6100151654918,142.3881
1995.262314968881,1.388,0.01157,-41.58112214334173,-164.16
2026.3796090383971,1.367,0.01229,-40.924332633627365,-156.7742
2191.79986692971,1.306,0.01547,-38.52905726479375,-138.9474
2370.723942959922,1.212,0.01587,-37.65851386150838,-133.7143
2511.886431509582,1.141,0.01475,-37.76987248208066,-134.5455
2564.2541997214576,1.141,0.01423,-38.08161488667861,-133.6083
2773.582989413581,1.064,0.01147,-39.34756420115524,-136.0
3000.0000000000014,0.992,0.008400001,-41.44464668781153,-134.4578
3162.2776601683795,0.957,0.00649,-43.37334481952949,-132.1519
3981.0717055349733,0.777,0.001288,-55.610103115542415,-5.76
5011.872336272725,0.628,0.00465,-42.61013381694484,18.0
6309.573444801937,0.51,0.00599,-38.6028670741725,18.22785
7943.282347242822,0.417,0.00599,-36.854184651688925,14.28571
10000.0,0.336,0.00566,-35.47045692403145,7.2
