frequency_hz,vpp_in,vpp_out,gain_db,phase_deg
10.0,1.1,0.954,-1.2368862090825992,-120.0
12.589254117941675,1.093,0.947,-1.2454036589285873,-4.5
15.848931924611133,1.087,0.94,-1.2620338097319175,-5.625
19.952623149688797,1.087,0.934,-1.3176533571240232,-5.76
25.118864315095795,1.087,0.927,-1.3829961988359483,-3.6
31.622776601683793,1.087,0.94,-1.2620338097319175,-4.556962
39.810717055349734,1.087,0.94,-1.2620338097319175,-5.714285
50.11872336272725,1.093,0.94,-1.3098461670000834,-3.6
63.09573444801933,1.086,0.94,-1.2540394330625906,-4.556962
79.43282347242814,1.114,0.954,-1.3467363226723006,5.714285
100.0,1.12,0.933,-1.5867275784736343,-3.6
125.89254117941675,1.114,0.947,-1.4107042366887352,-4.556962
158.48931924611142,1.114,0.967,-1.2291743350941693,-5.714285
199.52623149688787,1.1,0.947,-1.3008541230990331,-2.88
251.18864315095823,1.106,0.947,-1.3481029593081215,-7.272727
316.22776601683796,1.106,0.947,-1.3481029593081215,-9.113924
398.1071705534973,1.1,0.947,-1.3008541230990331,-8.639999
501.18723362727246,1.1,0.947,-1.3008541230990331,-7.199999
630.957344480193,1.093,0.947,-1.2454036589285873,-13.67089
794.3282347242822,1.093,0.947,-1.2454036589285873,-5.76
1000.0,1.093,0.947,-1.2454036589285873,-7.199999
1258.9254117941675,1.093,0.947,-1.2454036589285873,-9.113924
1584.893192461114,1.087,0.947,-1.1975913016604227,-11.42857
1995.262314968881,1.08,0.947,-1.1414755296735264,-20.16
2511.886431509582,1.073,0.933,-1.214361564389022,-25.45455
3162.2776601683795,1.06,0.927,-1.1645226224054634,-36.0
3333.333333333332,1.06,0.927,-1.1645226224054634,-43.2
3605.444667842552,1.053,0.927,-1.1069727408197878,-46.61871
3899.769375862288,1.053,0.927,-1.1069727408197878,-47.8125
3981.0717055349733,1.053,0.927,-1.1069727408197878,-48.57143
4218.120810605511,1.047,0.927,-1.057338950686904,-51.42857
4562.460355474004,1.047,0.92,-1.1231770866657405,-56.14679
4934.909508266037,1.047,0.913,-1.1895180828908671,-64.15842
5011.872336272725,1.047,0.913,-1.1895180828908671,-64.8
5337.762951858989,1.06,0.913,-1.2967017546094262,-68.93617
5773.502691896257,1.06,0.907,-1.3539715640935,-78.62069
6244.813348581596,1.073,0.893,-1.5949652615480931,-85.5
6309.573444801937,1.073,0.893,-1.5949652615480931,-81.00001
6754.598696794655,1.08,0.893,-1.6514459319680657,-94.86486
7305.9995564323635,1.087,0.873,-1.9043060076144962,-105.8823
7902.4131431997375,1.087,0.86,-2.034621856854536,-116.2205
7943.282347242822,1.087,0.86,-2.034621856854536,-114.2857
8547.513999071522,1.073,0.84,-2.126408718081388,-129.2308
9245.2766313786,1.033,0.813,-2.0801955185110486,-140.0
10000.0,1.02,0.76,-2.555731589622524,-162.0
10816.33400352766,1.087,0.664,-4.28122929436554,164.3478
11699.30812758687,1.333,0.52,-8.1765361155812,131.2941
12589.254117941662,1.573,0.348,-13.102989573534119,113.924
12654.362431816537,1.591,0.334,-13.558474256700341,109.3671
13687.381066422018,1.706,0.1864,-19.230662376270832,103.5616
14804.728524798116,1.706,0.089,-25.65178040373183,100.5882
15848.93192461114,1.652,0.041,-32.10452372529256,102.8571
16013.288855576975,1.635,0.0362,-33.09618372926278,98.70968
17320.508075688776,1.546,0.01166,-42.450218783186216,125.0
18734.440045744795,1.457,0.009339999,-43.86225444076476,-169.2537
19952.62314968883,1.377,0.01094,-41.99833236519023,-149.76
20263.79609038397,1.359,0.01102,-41.82075724433456,-148.0645
21917.9986692971,1.271,0.01006,-42.03095139668199,-142.1053
23707.239429599224,1.173,0.00768,-43.67873584168034,-139.2453
25118.864315095823,1.111,0.00562,-45.91955486743613,-136.8
25642.541997214576,1.075,0.0049,-46.82424768446221,-133.6082
27735.829894135808,1.004,0.002219,-53.11152821153985,-116.0
30000.00000000001,0.945,0.001396,-56.61092780444241,-30.36144
31622.776601683792,0.896,0.002372,-51.54386649939801,-9.113924
39810.71705534969,0.709,0.00624,-41.10923291001285,8.64
50118.72336272725,0.558,0.00753,-37.39678445473756,10.8
63095.73444801943,0.446,0.00743,-35.56692089903133,13.67089
79432.82347242821,0.352,0.00666,-34.4613686861566,5.714286
100000.0,0.278,0.00577,-33.6573796552469,7.2
