Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,33nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,3.3nF,C_0603_1608Metric,104.5,-45.0,-90.0,top
C3,47nF,C_0603_1608Metric,108.0,-45.0,-90.0,top
C4,10nF,C_0603_1608Metric,111.5,-45.0,-90.0,top
C5,22nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,100uH,C168095-IND-SMD_L6.0-W6.0_FNR60XXS,98.0,-44.75,-90.0,top
L2,82uH,C2983072-PSPHAQ127-820M,121.0,-44.75,0.0,top
