Comment,Designator,Footprint,LCSC,Quantity
1uF,"C1,C5",C_0603_1608Metric,C15849,2
470nF,C4,C_0603_1608Metric,C1623,1
220nF,C2,C_0603_1608Metric,C21120,1
2.2uF,C3,C_0603_1608Metric,C23630,1
IN,"J1,J2",C2837587-ANT-TH_KH-BNC50-3511,C2837587,2
4.7mH,L1,C2903126-NRSE8065-472M,C2903126,1
4mH,L2,C54426034-SNR.1050.TYD402MT00,C54426034,1
