Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,220nF,C_0603_1608Metric,106.5,-45.0,-90.0,top
C3,2.2uF,C_0603_1608Metric,109.5,-45.0,-90.0,top
C4,470nF,C_0603_1608Metric,112.5,-45.0,-90.0,top
C5,1uF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,4.7mH,C2903126-NRSE8065-472M,100.0,-44.75,-90.0,top
L2,4mH,C54426034-SNR.1050.TYD402MT00,121.0,-44.75,-90.0,top
