Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,22nF,C_0603_1608Metric,103.0,-45.0,-90.0,top
C3,220nF,C_0603_1608Metric,107.0,-45.0,-90.0,top
C4,47nF,C_0603_1608Metric,111.0,-45.0,-90.0,top
C5,100nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,500uH,C18236328-IND-SMD_L4.0-W4.0,97.5,-44.75,-90.0,top
L2,390uH,C5343814-MS125-391MT,120.5,-44.75,-90.0,top
