Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,47nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,6.8nF,C_0603_1608Metric,103.0,-45.0,-90.0,top
C3,100nF,C_0603_1608Metric,107.0,-45.0,-90.0,top
C4,22nF,C_0603_1608Metric,111.0,-45.0,-90.0,top
C5,47nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,200uH,C167949-IND-SMD_L5.0-W5.0_FNR50XXS,97.0,-44.75,-90.0,top
L2,180uH,C2455376-IND-SMD_L12.0-W12.0_CDRH127XX,121.0,-44.75,-90.0,top
