Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,6.8nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,470pF,C_0603_1608Metric,105.0,-45.0,-90.0,top
C3,10nF,C_0603_1608Metric,109.0,-45.0,-90.0,top
C4,2.2nF,C_0603_1608Metric,113.0,-45.0,-90.0,top
C5,4.7nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,22uH,C128694-IND-SMD_L7.3-W6.6_MHCI06030,98.0,-44.75,-90.0,top
L2,16uH,C2045615-L1050,122.0,-44.75,-90.0,top
