Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,3.3nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,330pF,C_0603_1608Metric,106.0,-45.0,-90.0,top
C3,4.7nF,C_0603_1608Metric,111.0,-45.0,-90.0,top
C4,1nF,C_0603_1608Metric,116.0,-45.0,-90.0,top
C5,2.2nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,10uH,C167223-IND-SMD_L7.3-W6.8,99.0,-44.75,-90.0,top
L2,8.2uH,C167222-IND-SMD_L7.0-W6.6_FXL0630,122.5,-44.75,90.0,top
