Comment,Designator,Footprint,LCSC,Quantity
1nF,C4,C_0603_1608Metric,C1588,1
2.2nF,C5,C_0603_1608Metric,C1604,1
3.3nF,C1,C_0603_1608Metric,C1613,1
330pF,C2,C_0603_1608Metric,C1664,1
8.2uH,L2,C167222-IND-SMD_L7.0-W6.6_FXL0630,C167222,1
10uH,L1,C167223-IND-SMD_L7.3-W6.8,C167223,1
IN,"J1,J2",C2837587-ANT-TH_KH-BNC50-3511,C2837587,2
4.7nF,C3,C_0603_1608Metric,C53987,1
