Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,33nF,C_0603_1608Metric,106.5,-45.0,-90.0,top
C3,470nF,C_0603_1608Metric,111.0,-45.0,-90.0,top
C4,100nF,C_0603_1608Metric,115.5,-45.0,-90.0,top
C5,220nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,1mH,C168102-IND-SMD_L6.0-W6.0_FNR60XXS,99.0,-44.75,-90.0,top
L2,820uH,C22464216-IND-SMD_L6.0-W6.0,123.0,-44.75,-90.0,top
