Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,470nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,47nF,C_0603_1608Metric,107.0,-45.0,-90.0,top
C3,1uF,C_0603_1608Metric,111.5,-45.0,-90.0,top
C4,220nF,C_0603_1608Metric,116.0,-45.0,-90.0,top
C5,470nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,2mH,C18236336-IND-SMD_L6.0-W6.0,100.0,-44.75,-90.0,top
L2,1.8mH,C961369-CMLF0504-182KTT,122.5,-44.75,-90.0,top
