Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22nF,C_0603_1608Metric,91.5,-45.5,-90.0,top
C2,2.2nF,C_0603_1608Metric,109.5,-45.0,-90.0,top
C3,22nF,C_0603_1608Metric,114.0,-45.0,-90.0,top
C4,4.7nF,C_0603_1608Metric,118.5,-45.0,-90.0,top
C5,10nF,C_0603_1608Metric,129.5,-43.975,90.0,top
J1,IN,C2837587-ANT-TH_KH-BNC50-3511,79.749759,-44.75,-90.0,top
J2,OUT,C2837587-ANT-TH_KH-BNC50-3511,140.250241,-44.75,90.0,top
L1,47uH,C149599-IND-SMD_L11.5-W10.0_SMMS1040,99.999898,-44.75,-90.0,top
L2,39uH,C5339362-IND-SMD_L3.5-W3.0,124.0,-44.75,90.0,top
